Time_stamp,Ax,Ay,Az,Gx,Gy,Gz,Label
22:15:30.270,0.791260,-0.095459,0.616699,-15.030488,80.396347,-30.792685,0
22:15:30.343,0.794678,-0.091064,0.600586,-0.213415,1.067073,-1.250000,0
22:15:30.372,0.795410,-0.090820,0.602783,1.036585,1.646342,-1.006098,0
22:15:30.429,0.797119,-0.089111,0.602295,-0.121951,2.408537,-0.579268,0
22:15:30.435,0.790039,-0.082275,0.612061,-0.335366,2.835366,-0.640244,0
22:15:30.469,0.782715,-0.090576,0.610840,2.195122,2.103659,-0.701220,0
22:15:30.505,0.776367,-0.072754,0.605713,-1.859756,0.914634,-1.798781,0
22:15:30.537,0.773438,-0.077637,0.602051,1.524390,0.121951,-2.682927,0
22:15:30.568,0.777832,-0.084961,0.600586,1.128049,0.487805,-2.073171,0
22:15:30.600,0.780518,-0.085449,0.611816,0.091463,0.609756,-1.829268,0
22:15:30.633,0.781982,-0.090332,0.618652,1.646342,0.579268,-1.615854,0
22:15:30.668,0.780518,-0.089844,0.605225,0.487805,0.914634,-1.615854,0
22:15:30.707,0.784668,-0.093262,0.607910,0.335366,1.097561,-1.158537,0
22:15:30.736,0.780273,-0.095703,0.608887,1.463415,1.615854,-1.341463,0
22:15:30.769,0.780029,-0.079590,0.618652,0.213415,2.560976,-1.219512,0
22:15:30.806,0.786377,-0.085205,0.617188,-0.182927,2.652439,-1.524390,0
22:15:30.835,0.786133,-0.078369,0.620605,0.335366,2.225610,-2.073171,0
22:15:30.871,0.783691,-0.074707,0.617432,-2.652439,2.743902,-2.713415,0
22:15:30.906,0.784180,-0.066650,0.621338,-1.402439,4.054878,-4.481708,0
22:15:30.937,0.788818,-0.043213,0.620361,-4.939024,4.817073,-6.128049,0
22:15:30.970,0.782471,-0.040039,0.620850,-4.542683,4.115854,-7.896342,0
22:15:31.006,0.775879,-0.060547,0.612305,-1.493902,2.957317,-7.469512,0
22:15:31.039,0.772705,-0.081787,0.602783,0.365854,1.097561,-7.621952,0
22:15:31.049,0.771484,-0.092041,0.605469,2.378049,-0.335366,-6.006098,0
22:15:31.107,0.767822,-0.112549,0.613037,3.201220,-1.067073,-4.024390,0
