Time_stamp,Ax,Ay,Az,Gx,Gy,Gz,Label
15:14:33.921,-0.160889,-0.184326,0.957275,-1.829268,77.652443,-26.006098,1
15:14:34.011,-0.097900,-0.149658,1.031006,0.762195,2.439024,-1.920732,1
15:14:34.140,-0.009766,-0.183105,1.019775,7.865854,-2.012195,0.640244,1
15:14:34.274,-0.072754,-0.136475,0.995117,9.756098,0.457317,-16.371952,1
15:14:34.407,-0.037842,0.009277,0.973633,-20.152439,-1.219512,-1.615854,1
15:14:34.539,-0.165771,-0.130371,0.816406,1.158537,5.762195,-18.628050,1
15:14:34.654,-0.048828,-0.227783,1.107422,6.737805,3.048780,-7.317073,1
15:14:34.789,-0.148438,-0.139404,0.953125,2.073171,-7.042683,5.182927,1
15:14:34.921,-0.103516,-0.104248,0.953857,2.743902,1.798781,-0.670732,1
15:14:35.054,-0.075439,-0.120850,1.005615,3.506098,-4.847561,-3.384146,1
15:14:35.194,-0.043457,-0.088867,0.993652,-11.737805,-6.006098,17.347561,1
15:14:35.301,0.009277,-0.354492,1.148926,3.445122,-8.719512,-5.121951,1
15:14:35.436,0.050781,-0.193115,0.899170,2.164634,7.896342,-13.414635,1
15:14:35.574,-0.177979,-0.148682,0.908447,5.762195,-1.585366,-0.060976,1
15:14:35.708,-0.143555,-0.162842,1.029053,-0.670732,-1.463415,1.097561,1
15:14:35.840,-0.064453,-0.142334,0.983887,4.695122,-1.676829,-2.896342,1
15:14:35.972,-0.030518,-0.153076,0.961182,-7.957317,8.506098,5.609756,1
15:14:36.080,-0.106201,-0.136963,0.996094,2.225610,-7.713415,-6.310976,1
15:14:36.214,0.004883,-0.195312,0.948730,3.902439,9.969512,-1.646342,1
15:14:36.358,-0.031738,-0.177490,1.023193,-3.292683,6.981708,1.097561,1
15:14:36.522,-0.181396,-0.116455,1.021973,4.939024,-3.048780,-6.341464,1
15:14:36.629,-0.123047,-0.144287,0.980713,6.463415,-6.524390,-2.591464,1
15:14:36.746,-0.022461,-0.129639,0.955078,-10.274390,3.993902,12.042684,1
15:14:36.928,-0.016357,-0.279785,1.066406,-3.079268,-14.481708,-4.329268,1
15:14:37.013,-0.000732,-0.184570,0.831299,0.853659,13.323171,-0.731707,1
15:14:37.126,-0.014648,-0.227295,1.041748,1.402439,13.536586,1.676829,1
15:14:37.259,-0.194824,-0.113281,1.000000,8.871951,-5.457317,-1.280488,1
15:14:37.391,-0.206299,-0.125488,0.986816,5.274390,-6.128049,-2.987805,1
15:14:37.560,-0.076904,-0.163818,0.971924,5.365854,-8.384147,-8.353659,1
15:14:37.643,-0.009277,-0.144043,0.984375,-6.615854,1.890244,-2.743902,1
15:14:37.804,-0.027832,-0.208984,1.050781,1.951220,-15.487805,-12.652439,1
15:14:37.925,0.123779,-0.168701,1.025879,-1.250000,17.743902,-21.676830,1
15:14:38.047,-0.202393,-0.097656,0.941162,0.000000,-0.304878,-0.640244,1
15:14:38.185,-0.082764,-0.300293,0.974854,1.158537,-1.707317,12.682927,1
15:14:38.359,-0.075928,-0.153809,0.996094,-1.585366,-4.390244,5.884147,1
15:14:38.426,-0.028320,-0.137207,0.959717,3.475610,2.652439,4.512195,1
15:14:38.612,-0.115967,-0.222656,1.012695,4.664634,-16.737804,-13.993903,1
15:14:38.685,0.159668,-0.183838,0.965332,0.152439,14.146341,-14.542684,1
15:14:38.816,-0.133789,-0.144775,0.964355,1.219512,0.030488,-0.884146,1
15:14:38.969,-0.174072,-0.166748,1.001221,3.506098,0.609756,5.213415,1
15:14:39.107,-0.132812,-0.130371,0.991699,-0.274390,-4.634147,8.079268,1
15:14:39.215,-0.055176,-0.134033,0.951904,43.231709,24.603659,-5.060976,1
15:14:39.431,-0.045654,0.023193,0.984863,-16.006098,-19.420732,-8.689025,1
15:14:39.463,0.061523,-0.119629,0.995361,-8.810976,24.268293,-15.396342,1
15:14:39.596,-0.006836,-0.229248,1.016846,5.884147,0.609756,0.548781,1
15:14:39.769,-0.204834,-0.142578,0.954834,0.701220,2.865854,0.548781,1
15:14:39.862,-0.205078,-0.137695,1.064697,1.463415,-1.585366,6.859756,1
15:14:40.013,-0.148438,-0.122559,0.927002,24.573172,-19.756098,-7.073171,1
