Time_stamp,Ax,Ay,Az,Gx,Gy,Gz,Label
16:27:19.572,-0.199219,-0.175293,0.971924,-14.207317,80.914635,-31.707317,
16:27:19.666,-0.197021,-0.160156,0.968506,-0.701220,0.000000,-1.158537,
16:27:19.666,-0.197021,-0.160156,0.968506,-1.646342,-0.396341,-1.310976,
16:27:19.681,-0.190186,-0.175537,0.972900,-1.402439,0.152439,-1.067073,
16:27:19.697,-0.193604,-0.194336,0.976318,1.250000,0.396341,-0.884146,
16:27:19.697,-0.193604,-0.194336,0.976318,2.012195,1.067073,-1.493902,
16:27:19.745,-0.197266,-0.182129,0.977295,2.682927,2.012195,-1.676829,
16:27:19.756,-0.203857,-0.176025,0.969238,1.158537,2.012195,-1.829268,
16:27:19.756,-0.203857,-0.176025,0.969238,0.091463,1.554878,-1.493902,
16:27:19.784,-0.198975,-0.166016,0.973389,0.579268,1.310976,-1.585366,
16:27:19.792,-0.197510,-0.184814,0.967529,1.920732,1.341463,-2.652439,
16:27:19.792,-0.197510,-0.184814,0.967529,2.256098,1.524390,-2.713415,
16:27:19.841,-0.196289,-0.171387,0.977051,2.439024,2.195122,-2.439024,
16:27:19.849,-0.198730,-0.167480,0.982666,2.987805,1.859756,-2.317073,
16:27:19.849,-0.198730,-0.167480,0.982666,3.963415,2.134146,-3.109756,
16:27:19.879,-0.189453,-0.177734,0.982666,5.670732,3.018293,-3.475610,
16:27:19.888,-0.186768,-0.178223,0.988281,6.890244,4.176829,-3.170732,
16:27:19.905,-0.190918,-0.170166,0.994385,7.560976,4.603659,-3.567073,
16:27:19.914,-0.187500,-0.177002,0.996826,10.853659,6.341464,-5.304878,
16:27:19.942,-0.185547,-0.182861,0.995605,13.262196,8.780488,-5.640244,
16:27:19.951,-0.196777,-0.151123,0.982178,13.018293,9.146341,-4.817073,
16:27:19.977,-0.209717,-0.156006,0.969971,13.048780,8.262196,-4.359756,
16:27:19.986,-0.222412,-0.194580,0.968018,17.012196,7.134147,-4.481708,
16:27:20.019,-0.215088,-0.205322,0.960449,18.658537,7.560976,-3.902439,
16:27:20.029,-0.228760,-0.184326,0.944336,17.256098,6.158537,0.670732,
16:27:20.065,-0.248047,-0.150879,0.927734,10.335366,2.256098,3.170732,
16:27:20.077,-0.256348,-0.145020,0.920654,7.042683,-0.487805,4.237805,
16:27:20.085,-0.242676,-0.142090,0.929199,3.932927,-3.841464,5.304878,
16:27:20.097,-0.231445,-0.149902,0.940918,5.152439,-5.945122,7.012195,
16:27:20.113,-0.231689,-0.143799,0.948975,5.487805,-6.310976,7.621952,
16:27:20.121,-0.241699,-0.135498,0.949463,7.042683,-8.109756,7.286585,
16:27:20.139,-0.234131,-0.109863,0.966064,6.158537,-9.237805,6.981708,
16:27:20.147,-0.220947,-0.104492,0.977295,7.134147,-9.634147,6.554878,
16:27:20.174,-0.208984,-0.112305,0.976807,10.091464,-8.567074,3.871951,
16:27:20.184,-0.203369,-0.094238,0.996338,11.280488,-8.048780,1.676829,
16:27:20.212,-0.190186,-0.089111,1.009766,11.402439,-7.378049,0.457317,
16:27:20.221,-0.178955,-0.091797,1.004395,10.152439,-5.030488,-0.884146,
16:27:20.232,-0.171875,-0.071289,1.000977,6.402439,-3.628049,-0.914634,
16:27:20.241,-0.165039,-0.089355,1.007568,5.335366,-2.713415,-0.762195,
16:27:20.275,-0.163330,-0.090088,1.012451,2.591464,-0.548781,-0.335366,
16:27:20.287,-0.162109,-0.088867,1.015869,0.121951,0.884146,-0.792683,
16:27:20.316,-0.167969,-0.110352,1.011719,0.609756,1.158537,-0.975610,
16:27:20.328,-0.166016,-0.108398,1.004150,0.609756,2.682927,-0.640244,
16:27:20.344,-0.178223,-0.096436,0.977539,-0.548781,2.530488,0.396341,
16:27:20.354,-0.201660,-0.107666,0.975586,-0.121951,1.493902,1.097561,
16:27:20.380,-0.199707,-0.108154,0.977295,0.640244,1.128049,0.548781,
16:27:20.388,-0.214355,-0.115723,0.971680,3.170732,-0.030488,-0.884146,
