Time_stamp,Ax,Ay,Az,Gx,Gy,Gz,Label
11:29:38.387,0.790771,-0.200928,0.576172,-16.189024,81.676834,-30.945122,1
11:29:38.456,0.792725,-0.198975,0.593750,-0.792683,1.554878,-0.365854,1
11:29:38.488,0.784912,-0.204590,0.579102,2.560976,1.676829,-0.274390,1
11:29:38.523,0.787842,-0.191650,0.571777,-1.250000,2.378049,-0.731707,1
11:29:38.562,0.790771,-0.198730,0.572510,-0.274390,1.798781,-1.006098,1
11:29:38.593,0.780029,-0.197510,0.565918,1.676829,0.457317,-1.189024,1
11:29:38.628,0.786133,-0.195312,0.568359,-0.243902,0.701220,-1.524390,1
11:29:38.658,0.786377,-0.196045,0.570557,1.158537,0.579268,-1.615854,1
11:29:38.689,0.789307,-0.195557,0.571289,1.310976,0.457317,-1.371951,1
11:29:38.723,0.789551,-0.190186,0.570557,0.762195,0.548781,-1.463415,1
11:29:38.760,0.793945,-0.197510,0.566650,2.530488,0.518293,-0.701220,1
11:29:38.798,0.786133,-0.191162,0.566650,0.945122,0.579268,-0.945122,1
11:29:38.830,0.785156,-0.193848,0.569092,3.170732,-0.670732,-1.463415,1
11:29:38.861,0.782715,-0.189941,0.569336,2.957317,-0.975610,-1.219512,1
11:29:38.894,0.782715,-0.189697,0.580566,3.201220,-0.579268,-1.158537,1
11:29:38.911,0.791748,-0.202148,0.576660,4.024390,0.213415,-1.280488,1
11:29:38.942,0.794434,-0.188965,0.575928,3.048780,0.640244,-1.585366,1
11:29:38.979,0.791504,-0.183105,0.575195,2.957317,0.457317,-1.067073,1
11:29:39.013,0.789551,-0.206787,0.568359,5.396342,-0.091463,-1.676829,1
11:29:39.045,0.785400,-0.171387,0.552002,2.682927,-0.853659,-2.530488,1
11:29:39.077,0.790527,-0.162598,0.558350,1.554878,-0.335366,-2.560976,1
11:29:39.111,0.797363,-0.199219,0.561523,6.036585,0.518293,-0.060976,1
11:29:39.146,0.798340,-0.183594,0.560303,-6.219512,4.939024,-2.865854,1
11:29:39.181,0.774902,-0.143555,0.560059,-4.725610,1.798781,-9.207317,1
11:29:39.220,0.801270,-0.191650,0.574463,1.737805,2.256098,-4.939024,1
11:29:39.246,0.789062,-0.204102,0.607666,-3.932927,3.689024,-4.695122,1
11:29:39.278,0.826660,-0.204590,0.629395,2.865854,1.432927,-1.128049,1
11:29:39.313,0.792236,-0.139648,0.579590,5.792683,3.079268,-3.048780,1
11:29:39.352,0.801025,-0.124268,0.562500,4.969512,3.628049,-1.280488,1
